dataset,method,label,estimate,se,ci_low,ci_high
experimental,naive,Unadjusted difference,265.1463113222453,305.0442812952303,-332.7404800164061,863.0331026608967
experimental,linear,AIPW · linear,433.6795604644768,240.76786806502085,-38.22546094296405,905.5845818719176
experimental,hgb,AIPW · boosted trees,86.3943195277617,262.3932556095298,-427.89646146691666,600.68510052244
observational,naive,Unadjusted difference,-12118.748062288814,247.77669602017158,-12604.39038648835,-11633.105738089278
observational,linear,AIPW · linear,-1337.7645810863655,268.0174389809547,-1863.0787614890369,-812.4504006836943
observational,hgb,AIPW · boosted trees,-1212.1623439248335,301.1237250643961,-1802.36484505105,-621.9598427986172
