dataset,method,label,split_min,split_max,estimate,se,ci_low,ci_high
experimental,naive,Unadjusted difference,1794.342404270271,1794.342404270271,1794.342404270271,670.9965463815241,479.18917336248364,3109.4956351780584
experimental,linear,AIPW · linear,1769.5251493556473,1854.6072098458037,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,hgb,AIPW · boosted trees,2050.77309831933,2175.2536246721793,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
observational,naive,Unadjusted difference,-8497.516142636992,-8497.516142636992,-8497.516142636992,583.4320770838137,-9641.043013721268,-7353.989271552718
observational,linear,AIPW · linear,1231.0422551212814,1248.2738824696005,1231.9711115335651,648.3991336722022,-38.891190463951034,2502.8334135310815
observational,hgb,AIPW · boosted trees,1538.5779559288937,1757.4235894768194,1757.4235894768194,794.8886199724169,199.4418943308824,3315.4052846227564
