scenario,method,repetition,seed,truth,estimate,se,ci_low,ci_high
good_overlap,naive,9,2035,2000.0,3439.7346964438693,160.58255159789445,3124.992895311996,3754.4764975757425
good_overlap,linear,9,2035,2000.0,2546.1945096389163,158.42200554386827,2235.6873787729346,2856.701640504898
good_overlap,hgb,9,2035,2000.0,1945.9761695232655,213.777376817557,1526.972510960854,2364.979828085677
good_overlap,naive,10,2036,2000.0,3392.1393729602305,170.6620668652599,3057.641721904321,3726.63702401614
good_overlap,linear,10,2036,2000.0,2482.5987582500384,165.96009993752082,2157.3169623724975,2807.880554127579
good_overlap,hgb,10,2036,2000.0,2213.8152454167916,189.08518251633208,1843.2082876847808,2584.4222031488025
good_overlap,naive,11,2037,2000.0,3232.7051501426095,161.7413944404708,2915.692017039287,3549.718283245932
good_overlap,linear,11,2037,2000.0,2594.7750814417636,153.4363605206475,2294.0398148212944,2895.510348062233
good_overlap,hgb,11,2037,2000.0,2018.3238214963892,221.90552097740638,1583.3890003806728,2453.2586426121056
good_overlap,naive,12,2038,2000.0,3440.302550309875,161.82273012930057,3123.129999256446,3757.4751013633045
good_overlap,linear,12,2038,2000.0,2617.9123195418465,151.81325021579428,2320.3583491188897,2915.4662899648033
good_overlap,hgb,12,2038,2000.0,2149.055821310906,178.90443832721715,1798.4031221895605,2499.7085204322516
good_overlap,naive,13,2039,2000.0,3079.1248996218565,160.2922895608043,2764.95201208268,3393.297787161033
good_overlap,linear,13,2039,2000.0,2407.698494326317,168.71055393936282,2077.025808605166,2738.371180047468
good_overlap,hgb,13,2039,2000.0,2068.3559607622274,195.39421702631049,1685.3832953906588,2451.3286261337958
good_overlap,naive,14,2040,2000.0,3347.68873215623,166.16636920260467,3022.0026485191247,3673.374815793335
good_overlap,linear,14,2040,2000.0,2712.009763190957,176.96125249190678,2365.16570830682,3058.8538180750943
good_overlap,hgb,14,2040,2000.0,2106.901342741804,204.79347711921176,1705.506127588149,2508.296557895459
good_overlap,naive,15,2041,2000.0,3507.497828334064,169.0759926753878,3176.1088826903037,3838.886773977824
good_overlap,linear,15,2041,2000.0,2614.3170553310697,159.50949750478392,2301.678440221693,2926.9556704404463
good_overlap,hgb,15,2041,2000.0,2246.6856751074715,188.09790815062954,1878.0137751322377,2615.3575750827054
good_overlap,naive,16,2042,2000.0,3587.0993131854593,164.84166495369948,3264.009649876208,3910.1889764947105
good_overlap,linear,16,2042,2000.0,2702.0509808033876,173.14505838759567,2362.6866663637,3041.415295243075
good_overlap,hgb,16,2042,2000.0,2043.459182531428,241.12563151314612,1570.8529447656617,2516.0654202971946
good_overlap,naive,17,2043,2000.0,3088.2090368839063,168.66115153333976,2757.6331798785604,3418.784893889252
good_overlap,linear,17,2043,2000.0,2371.255320651839,171.3555590086055,2035.3984249949724,2707.1122163087057
good_overlap,hgb,17,2043,2000.0,1976.7327276402505,199.3791020266509,1585.9496876680146,2367.5157676124863
good_overlap,naive,18,2044,2000.0,3427.6763532019877,166.56958285810526,3101.1999708001013,3754.152735603874
good_overlap,linear,18,2044,2000.0,2611.494497494567,176.8904636169389,2264.789188805367,2958.199806183767
good_overlap,hgb,18,2044,2000.0,2052.4465593358345,207.67204961889348,1645.4093420828033,2459.4837765888656
good_overlap,naive,19,2045,2000.0,3514.212047605265,171.2747140150073,3178.5136081358505,3849.9104870746796
