scenario,method,label,repetitions,n,bias,rmse,coverage,coverage_mc_se,mean_ci_width
good_overlap,naive,Unadjusted difference,100,1000,1335.6226569804476,1347.6021085643365,0.0,0.0,646.0640448158866
good_overlap,linear,AIPW · linear,100,1000,565.4516379828016,587.2368381551677,0.06,0.023748684174075833,647.5981957254975
good_overlap,hgb,AIPW · boosted trees,100,1000,88.52177242821931,203.5196194409291,0.94,0.023748684174075843,815.498062658092
weak_overlap,naive,Unadjusted difference,100,1000,2480.955494306053,2485.837134556125,0.0,0.0,594.298589843287
weak_overlap,linear,AIPW · linear,100,1000,1252.1864657034494,1286.590182752425,0.01,0.0099498743710662,1147.4110199421177
weak_overlap,hgb,AIPW · boosted trees,100,1000,531.8324092489564,609.5280691940894,0.49,0.04998999899979995,1152.4431867303724
hidden_confounding,naive,Unadjusted difference,100,1000,2707.580619415066,2713.70631263636,0.0,0.0,728.703905089499
hidden_confounding,linear,AIPW · linear,100,1000,2163.860544869929,2171.0891311011655,0.0,0.0,739.8970658994809
hidden_confounding,hgb,AIPW · boosted trees,100,1000,1816.0491139469323,1828.5079162320878,0.0,0.0,927.2011228192392
